Pøehled operací pro portfolio"základní OÚ: xxxxx"
Vytvoøeno: 20.02.2026 18:22:21
Období: 1.1.2025 - 31.12.2025













Datum obchodu;Smìr;Symbol;Cena;Poèet;Mìna;Objem v CZK;Poplatky v CZK;Objem v USD;Poplatky v USD;Objem v EUR;Poplatky v EUR;Text FIO;
22.10.2025 18:42;Nákup;GRAB;5,5680769;26,00;USD;;;-152,72;7,95;;;Nákup;
15.10.2025 00:00;;O;1,00;-16,01;USD;;;-16,01;0,00;;;O - Daò z divid. zaplacená v USA;
15.10.2025 00:00;;O;1,00;106,72;USD;;;106,72;0,00;;;O - Dividenda - USA;
03.10.2025 00:00;;VGWL;1,00;28,36;EUR;;;;;28,36;0,00;VGWL - Distribuce výnosu rùstového fondu;
30.09.2025 00:00;;PEP;1,00;-3,84;USD;;;-3,84;0,00;;;PEP - Daò z divid. zaplacená v USA;
30.09.2025 00:00;;PEP;1,00;25,60;USD;;;25,60;0,00;;;PEP - Dividenda - USA;
29.09.2025 00:00;;SCHB;1,00;-0,49;USD;;;-0,49;0,00;;;SCHB - Daò z divid. zaplacená v USA;
29.09.2025 00:00;;SCHB;1,00;3,27;USD;;;3,27;0,00;;;SCHB - Dividenda - USA;
29.09.2025 00:00;;META;1,00;-0,79;USD;;;-0,79;0,00;;;META - Daò z divid. zaplacená v USA;
29.09.2025 00:00;;META;1,00;5,25;USD;;;5,25;0,00;;;META - Dividenda - USA;
26.09.2025 00:00;;IUSA;1,00;24,51;EUR;;;;;24,51;0,00;IUSA - Distribuce výnosu rùstového fondu;
24.09.2025 00:00;;MDYG;1,00;-0,52;USD;;;-0,52;0,00;;;MDYG - Daò z divid. zaplacená v USA;
24.09.2025 00:00;;MDYG;1,00;3,52;USD;;;3,52;0,00;;;MDYG - Dividenda - USA;
22.09.2025 16:36;Nákup;PYPL;67,8084932;73,00;USD;;;-4 957,97;7,95;;;Nákup;
22.09.2025 16:34;Prodej;WBD;19,5616078;255,00;USD;;;4 978,12;10,09;;;Prodej;
16.09.2025 21:38;Nákup;GRAB;6,37;45,00;USD;;;-294,60;7,95;;;Nákup;
15.09.2025 20:52;Nákup;ADBE;346,32;8,00;USD;;;-2 778,51;7,95;;;Nákup;
15.09.2025 00:00;;O;1,00;-15,98;USD;;;-15,98;0,00;;;O - Daò z divid. zaplacená v USA;
15.09.2025 00:00;;O;1,00;106,52;USD;;;106,52;0,00;;;O - Dividenda - USA;
15.09.2025 00:00;;GOOGL;1,00;-1,29;USD;;;-1,29;0,00;;;GOOGL - Daò z divid. zaplacená v USA;
15.09.2025 00:00;;GOOGL;1,00;8,61;USD;;;8,61;0,00;;;GOOGL - Dividenda - USA;
15.09.2025 00:00;;MSF;1,00;14,44;EUR;;;;;14,44;0,00;MSF - Dividenda SRN - po zdanìní;
12.09.2025 17:44;Prodej;WBD;18,3417178;163,00;USD;;;2 979,66;10,04;;;Prodej;
08.09.2025 19:48;Nákup;STLA;8,9568421;19,00;USD;;;-178,13;7,95;;;Nákup;
26.08.2025 00:00;;NVO;1,00;-1,88;USD;;;-1,88;0,00;;;NVO - ADR Fee;
26.08.2025 00:00;;NVO;1,00;-19,72;USD;;;-19,72;0,00;;;NVO - Daò z divid. zaplacená v USA;
26.08.2025 00:00;;NVO;1,00;73,04;USD;;;73,04;0,00;;;NVO - Dividenda - USA;
15.08.2025 00:00;;O;1,00;-15,98;USD;;;-15,98;0,00;;;O - Daò z divid. zaplacená v USA;
15.08.2025 00:00;;O;1,00;106,52;USD;;;106,52;0,00;;;O - Dividenda - USA;
08.08.2025 15:50;Nákup;NVO;50,22688;125,00;USD;;;-6 288,31;9,95;;;Nákup;
08.08.2025 15:41;Prodej;AMD;174,882;35,00;USD;;;6 112,78;8,09;;;Prodej;
06.08.2025 00:00;;BTI;1,00;-2,68;USD;;;-2,68;0,00;;;BTI - ADR Fee;
06.08.2025 00:00;;BTI;1,00;213,71;USD;;;213,71;0,00;;;BTI - Dividenda - USA;
01.08.2025 00:00;;;;0,00;CZK;-22,13;22,13;;;;;Poplatek za pøipsání dividend;
01.08.2025 00:00;;BAACEZ;1,00;11 067,00;CZK;11 067,00;0,00;;;;;BAACEZ - Dividenda ÈEZ (po zdanìní, daò 15%);
21.07.2025 16:30;Nákup;STLA;9,4391304;23,00;USD;;;-225,05;7,95;;;Nákup;
